date,open,high,low,close,volume,price_change,label
2018-06-04,77.770000,78.360000,76.180000,77.270000,948070,0.069367,1
2018-06-05,77.020000,82.630000,76.930000,82.630000,1375130,0.042479,1
2018-06-06,84.550000,86.480000,82.880000,86.140000,610180,-0.032041,0
2018-06-07,86.230000,86.230000,81.200000,83.380000,1220730,-0.021108,0
2018-06-08,83.300000,84.550000,80.370000,81.620000,886300,-0.003063,0
2018-06-11,80.370000,83.630000,79.610000,81.370000,430500,-0.051370,0
2018-06-12,80.030000,81.040000,76.180000,77.190000,975270,0.047675,1
2018-06-13,77.860000,80.870000,77.860000,80.870000,581410,-0.026957,0
2018-06-14,81.200000,82.040000,78.690000,78.690000,441200,0.020206,1
2018-06-15,78.690000,80.280000,78.690000,80.280000,424790,-0.061535,0
2018-06-18,79.530000,79.780000,75.340000,75.340000,804300,-0.033316,0
2018-06-19,74.090000,74.930000,70.070000,72.830000,1737920,0.057531,1
2018-06-20,73.670000,77.020000,71.580000,77.020000,590050,-0.031550,0
2018-06-21,77.020000,77.020000,74.090000,74.590000,423980,0.017965,1
2018-06-22,72.920000,77.100000,72.830000,75.930000,953560,0.003293,1
2018-06-25,78.610000,79.110000,76.180000,76.180000,559460,-0.008795,0
2018-06-27,76.930000,77.440000,75.340000,75.510000,759500,-0.010197,0
2018-06-28,76.110000,76.620000,74.480000,74.740000,423120,0.013781,1
2018-06-29,74.740000,76.200000,73.630000,75.770000,381860,-0.001188,0
2018-07-02,74.480000,76.450000,72.000000,75.680000,781630,-0.061047,0
2018-07-03,75.680000,75.770000,71.060000,71.060000,550270,-0.042218,0
2018-07-04,71.920000,72.430000,66.690000,68.060000,866710,-0.069204,0
2018-07-05,68.060000,68.920000,63.350000,63.350000,625240,0.068982,1
2018-07-06,62.500000,67.720000,59.930000,67.720000,744380,0.005021,1
2018-07-09,68.060000,71.740000,68.060000,68.060000,499120,0.006318,1
2018-07-10,68.920000,71.060000,68.490000,68.490000,552090,-0.027449,0
2018-07-11,66.780000,68.490000,65.150000,66.610000,616210,0.015463,1
2018-07-12,65.490000,68.410000,65.150000,67.640000,237010,0.035334,1
2018-07-13,67.640000,70.200000,67.640000,70.030000,416710,-0.007283,0
2018-07-16,70.200000,70.630000,68.660000,69.520000,219390,-0.027043,0
2018-07-17,68.150000,68.320000,66.780000,67.640000,518690,0.050562,1
2018-07-18,68.490000,71.060000,68.060000,71.060000,696840,0.014495,1
2018-07-19,71.920000,72.860000,71.320000,72.090000,455830,-0.017894,0
2018-07-20,71.920000,71.920000,70.290000,70.800000,545360,0.023023,1
